0101,SRIKAKULAM DT
0102,AMADALAVALASA ST
0103,ICHAPURAM ST
0104,KOTABOMMALI ST
0105,KOTTUR ST
0106,NARSANNAPETA ST
0107,PALAKONDA DIVL ST
0108,PALASA ST
0109,PATHAPATNAM ST
0110,PONDURU ST
0111,RAJAM ST
0112,SOMPETA ST
0113,SRIKAKULAM HQ ST
0114,TEKKALI DIVL ST
0115,RANASTHALAM ST
0201,VISAKHAPATNAM DT
0202,ANAKAPALLI EAST ST
0203,ANAKAPALLI WEST ST
0204,ARAKU ST
0205,BHEEMUNIPATNAM ST
0206,CHINTHAPALLI ST
0207,CHODAVARAM ST
0208,ELLAMANCHILI ST
0209,KOTAURATLA ST
0210,MADUGULA ST
0211,NAKKAPALLI ST
0212,NARSIPATNAM DIVL ST
0213,PADERU DIVL ST
0214,VISAKHAPATNAM HQ ST
0301,KAKINADA EG DIST DT
0302,ADDATHEEGALA ST
0303,ALAMUR ST
0304,AMALAPURAM DIVL ST
0305,KAKINADA HQ ST
0306,KOTHAPETA ST
0307,MUMMIDIVARAM ST
0308,PEDDAPURAM DIVL ST
0309,PITHAPURAM ST
0310,PRATHIPADU ST
0312,RAJAMUNDRY DIVL ST
0313,RAMACHANDRAPURAM ST
0314,RAMPACHODAVARAM DIVL ST
0315,RAYAVARAM ST
0316,RAZOLE ST
0317,TUNI ST
0318,JAGGAMPET ST
0319,KORUKONDA ST
0320,ANAPARTHI ST
0401,ELURU WG DIST DT
0402,AKIVEEDU ST
0403,BHIMAVARAM ST
0404,BHIMADOLE ST
0405,CHINTALAPUDI ST
0406,ELURU HQ ST
0407,JANGAREDDYGUDEM ST
0408,KOVVUR DIVL ST
0409,NARSAPUR DIVL ST
0410,NIDADAVOLE ST
0411,PALKOL ST
0412,PENUGONDA ST
0413,POLAVARAM ST
0414,TADEPALLIGUDEM ST
0415,TANUKU ST
0501,MACHILIPATNAM KRISHNA DIST DT
0502,AVANIGADDA ST
0503,MACHILIPATNAM HQ ST
0504,BANTUMILLI ST
0505,GANNAVARAM ST
0506,GUDIWADA DIVL ST
0507,JAGGAIAHPETA ST
0508,KAIKALURU ST
0509,MOVVA ST
0510,MYLAVARAM ST
0511,NANDIGAMA ST
0512,NUZVID DIVL ST
0513,PAMARRU ST
0514,TIRUVUR ST
0515,VIJAYAWADA EAST DIVL ST
0516,VIJAYAWADA WEST DIVL ST
0517,VISSANNAPETA ST
0518,VUYYURU ST
0519,KANCHIKACHARLA ST
0601,GUNTUR DT
0602,BAPATLA ST
0603,CHILAKALURIPET ST
0604,DUGGIRALA ST
0605,GUNTUR HQ ST
0606,GURAJALA ST
0607,MACHERLA ST
0608,MANGALAGIRI ST
0609,NAGARAM ST
0610,NARSARAOPETA DIVL ST
0611,PEDAKURAPADU ST
0612,PIDUGURALLA ST
0613,RAJUPALEM ST
0614,REPALLE ST
0615,SATTENAPALLI ST
0616,TENALI DIVL ST
0617,PONNURU ST
0618,VINUKONDA ST
0701,ONGOLE PRAKASAM DIST DT
0702,ADDANKI ST
0703,CHIRALA ST
0704,CUMBUM ST
0705,DARSI ST
0706,GIDDALUR ST
0707,KANDUKUR DIVL ST
0708,KANIGIRI ST
0709,MARKAPUR DIVL ST
0710,MARTUR ST
0711,ONGOLE HQ ST
0712,PODILI ST
0713,YERRAGONDAPALEM ST
0801,SPSR NELLORE DT
0802,NELLORE HQ ST
0803,GUDUR DIVL ST
0804,ATMAKUR ST
0805,KAVALI DIVL ST
0806,KOVUR ST
0807,UDAYAGIRI ST
0808,SULLURPETA ST
0809,BUCHIREDDYPALEM ST
0810,VENKATAGIRI ST
0811,VINJAMURU ST
0812,PODALAKUR ST
0813,NAIDUPETA ST
0814,RAPUR ST
0815,INDUKURPETA ST
0816,VAKADU ST
0901,KURNOOL DT
0902,ADONI DIVL ST
0903,ALLAGADDA ST
0904,ALUR ST
0905,ATMAKUR ST
0906,BANGANAPALLE ST
0907,DHONE ST
0908,GUDUR ST
0909,KOILKUNTLA ST
0910,KURNOOL HQ ST
0911,NANDIKOTKUR ST
0912,NANDYAL DIVL ST
0913,PATTIKONDA ST
0914,YEMMIGANUR ST
0915,SRISAILAM ST
1001,ANANTAPURAMU DT
1002,ANANTAPURAMU HQ ST
1003,DHARMAVARAM DIVL ST
1004,GOOTY ST
1005,GUNTAKAL ST
1006,HINDUPUR ST
1007,KADIRI ST
1008,KALYANDURG ST
1009,KAMBADUR ST
1010,KANEKAL ST
1011,KOTHACHERUVU ST
1012,MADAKASIRA ST
1013,PENUKONDA DIVL ST
1014,RAYADURG ST
1015,SINGANAMALA ST
1016,TADIPATRI ST
1017,URAVAKONDA ST
1018,MUDIGUBBA ST
1101,CHITTOOR DT
1102,CHITTOOR HQ ST
1103,BANGARUPALEM ST
1104,CHANDRAGIRI ST
1105,KUPPAM ST
1106,MADANAPALLI DIVL ST
1107,NAGARI ST
1108,PAKALA ST
1109,PALAMANER ST
1110,PILER ST
1111,PUNGANUR ST
1112,PUTTUR ST
1113,SATYAVEDU ST
1114,SRIKALAHASTI ST
1115,THAMBALLAPALLE ST
1116,TIRUPATI DIVL ST
1117,THOTTAMBEDU ST
1118,VAYALPAD ST
1201,YSR KADAPA DT
1202,BADVEL ST
1203,YSR KADAPA HQ ST
1204,JAMMALAMADUGU DIVL ST
1205,KAMALAPURAM ST
1206,LAKKIREDDYPALLE ST
1207,MUDDANUR ST
1208,PRODDATUR ST
1209,PULIVENDLA ST
1210,RAILWAYKODUR ST
1211,RAJAMPETA DIVL ST
1212,RAYACHOTI ST
1213,SIDHAVATTAM ST
1214,MYDUKUR ST
2201,VIZIANAGARAM DT
2202,BHOGAPURAM ST
2203,BOBBILI ST
2204,CHEEPURUPALLI ST
2205,GAJAPATHINAGARAM ST
2206,KOTHAVALASA ST
2207,KURUPAM ST
2208,NELLIMARLA ST
2209,PARVATHIPURAM DIVL ST
2210,SALURU ST
2211,SRUNGAVARAPUKOTA ST
2212,THERLAM ST
2213,VIZIANAGARAM HQ ST
2702,AP STATE HQ TRY
